Search results:
    angular-momentjs-module git://github.com/firehist/angular-momentjs.git
    angularjs-viewhead git://github.com/apparentlymart/angularjs-viewhead.git
    angular-bootstrap3-datepicker git://github.com/benzen/angular-bootstrap3-datepicker.git
    angular-component-factory git://github.com/kennethlynne/angular-component-factory.git
    angular-input-match git://github.com/interval-braining/angular-input-match.git
    angular-safeapply git://github.com/cotag/angular-safeapply.git
    angular-directive.g-signin git://github.com/sirkitree/angular-directive.g-signin.git
    angular-decorate git://github.com/damienklinnert/angular-decorate.git
    angular-checklist-model git://github.com/vitalets/checklist-model.git
    28.io-angularjs git://github.com/28msec/28.io-angularjs.git
    angular-relative-date git://github.com/wildlyinaccurate/angular-relative-date.git
    angular-ui-tree-filter git://github.com/EE/angular-ui-tree-filter.git
    angular-pikaday-directive git://github.com/sebslomski/angular-pikaday-directive.git
    angular-storage git://github.com/Aspera/angular-storage.git
    angular-meta git://github.com/Moonfuse/angular-meta.git
    angular-seed git://github.com/angular/angular-seed.git
    angular-audio git://github.com/danielstern/ngAudio.git
    angular-action git://github.com/myplanetdigital/angular-action.git
    angular-rails-resource git://github.com/FineLinePrototyping/dist-angularjs-rails-resource.git
    angular-1.1.x git://github.com/PatternConsulting/bower-angular.git
    angular-chartjs-directive git://github.com/earlonrails/angular-chartjs-directive.git
    angularjs-jasmine-matchers git://github.com/ferronrsmith/angularjs-jasmine-matchers.git
    opentok-angular git://github.com/aullman/OpenTok-Angular.git
    angular-mm-foundation git://github.com/madmimi/angular-foundation.git
    angular-import-scope git://github.com/rubenv/angular-import-scope.git
    angular-nanoscroller git://github.com/maxaon/angular-nanoscroller.git
    angular-minicolors git://github.com/kaihenzler/angular-minicolors.git
    bc-angular-services git://github.com/buttercoin/bc-angular-services.git
    ngSocket git://github.com/angular/ngSocket.git
    angular-scrollable git://github.com/jtrussell/angular-scrollable.git
    goangular git://github.com/goinstant/goangular.git
    angular-ellipsis git://github.com/dibari/angular-ellipsis.git
    angular-input-masks git://github.com/assisrafael/angular-input-masks.git
    angular-steps git://github.com/omichelsen/angular-steps.git
    angular-piwik git://github.com/mike-spainhower/bower-angular-piwik
    angular-x2js git://github.com/cesarbarone/angular-x2js.git
    ta-angularjs-slider git://github.com/nadavsamet/angularjs-slider.git
    angular-modules git://github.com/chadhietala/Angular-Modules.git
    angular-momentum-scroll git://github.com/wzr1337/bower-angular-momentum-scroll.git
    angular-abortable-requests git://github.com/sathify/angular-abortable-requests.git
    angularjs-ordinal-filter git://github.com/jdpedrie/angularjs-ordinal-filter.git
    angular-chart.js git://github.com/jtblin/angular-chart.js
    angular-taglist git://github.com/chrispittman/angular-taglist.git
    angular-signalr-hub git://github.com/JustMaier/angular-signalr-hub.git
    angular-underscore-string git://github.com/tlvince/angular-underscore-string.git
    angular-sortable-view git://github.com/kamilkp/angular-sortable-view.git
    angular-mailchimp git://github.com/keithio/angular-mailchimp.git
    angular-primus git://github.com/neoziro/angular-primus.git
    angular-gesture git://github.com/cotag/bower-angular-gesture.git
    angular-zeroclipboard git://github.com/lisposter/angular-zeroclipboard.git
    amitava82-angular-multiselect git://github.com/amitava82/angular-multiselect.git
